config_id,features,train_r2,test_r2,n_train,n_test,n_features,rank
653,"change_1w, change_2w, ma_2w, ma_4w, seasonal, cos_seasonal",0.7258148260168901,0.5224816158947674,114,104,7,490
673,"change_1w, change_2w, ma_3w, ma_4w, seasonal, cos_seasonal",0.7258148260168901,0.5224816158947674,114,104,7,491
708,"change_1w, ma_2w, ma_3w, ma_4w, seasonal, cos_seasonal",0.7258148260168901,0.5224816158947674,114,104,7,492
848,"change_1w, change_2w, ma_2w, ma_3w, ma_4w, seasonal, cos_seasonal",0.7258148260168901,0.5224816158947674,114,104,8,493
582,"ma_2w, ma_3w, ma_4w, seasonal, cos_seasonal",0.7258148260168901,0.5224816158947672,114,104,6,494
527,"change_2w, ma_2w, ma_4w, seasonal, cos_seasonal",0.7258148260168902,0.5224816158947663,114,104,6,495
547,"change_2w, ma_3w, ma_4w, seasonal, cos_seasonal",0.7258148260168901,0.5224816158947663,114,104,6,496
764,"change_2w, ma_2w, ma_3w, ma_4w, seasonal, cos_seasonal",0.7258148260168902,0.5224816158947663,114,104,7,497
77,"change_1w, ma_4w, seasonal",0.7253090200566576,0.5213721423635338,114,104,4,498
210,"change_1w, ma_2w, ma_4w, seasonal",0.7253090200566576,0.5213721423635338,114,104,5,499
126,"ma_2w, ma_4w, seasonal",0.7253090200566576,0.5213721423635334,114,104,4,500
225,"change_1w, ma_3w, ma_4w, seasonal",0.7253176956273811,0.5210136242228183,114,104,5,501
442,"change_1w, ma_2w, ma_3w, ma_4w, seasonal",0.7253176956273811,0.5210136242228183,114,104,6,502
189,"change_1w, change_2w, ma_4w, seasonal",0.7253176956273812,0.521013624222818,114,104,5,503
392,"change_1w, change_2w, ma_2w, ma_4w, seasonal",0.7253176956273812,0.521013624222818,114,104,6,504
407,"change_1w, change_2w, ma_3w, ma_4w, seasonal",0.7253176956273812,0.521013624222818,114,104,6,505
638,"change_1w, change_2w, ma_2w, ma_3w, ma_4w, seasonal",0.7253176956273812,0.521013624222818,114,104,7,506
266,"change_2w, ma_2w, ma_4w, seasonal",0.7253176956273812,0.5210136242228178,114,104,5,507
512,"change_2w, ma_2w, ma_3w, ma_4w, seasonal",0.7253176956273812,0.5210136242228178,114,104,6,508
316,"ma_2w, ma_3w, ma_4w, seasonal",0.7253176956273812,0.5210136242228176,114,104,5,509
281,"change_2w, ma_3w, ma_4w, seasonal",0.7253176956273812,0.5210136242228172,114,104,5,510
6,seasonal,0.728723561718849,0.5027531439764117,117,107,2,511
46,"seasonal, cos_seasonal",0.730380597143037,0.4975307138066277,117,107,3,512
762,"change_1w, ma_4w, cos_seasonal, vol_2w, vol_3w, vol_4w",0.7179211006091939,0.38170688707422584,114,104,7,513
923,"change_1w, ma_2w, ma_4w, cos_seasonal, vol_2w, vol_3w, vol_4w",0.7179211006091939,0.38170688707422584,114,104,8,514
839,"ma_2w, ma_4w, cos_seasonal, vol_2w, vol_3w, vol_4w",0.7179211006091939,0.38170688707422495,114,104,7,515
700,"change_1w, change_2w, ma_4w, cos_seasonal, vol_2w, vol_4w",0.7159044953665501,0.38105668683604477,114,104,7,516
875,"change_1w, change_2w, ma_2w, ma_4w, cos_seasonal, vol_2w, vol_4w",0.7159044953665501,0.38105668683604477,114,104,8,517
890,"change_1w, change_2w, ma_3w, ma_4w, cos_seasonal, vol_2w, vol_4w",0.7159044953665501,0.38105668683604477,114,104,8,518
975,"change_1w, change_2w, ma_2w, ma_3w, ma_4w, cos_seasonal, vol_2w, vol_4w",0.7159044953665501,0.38105668683604477,114,104,9,519
750,"change_1w, ma_3w, ma_4w, cos_seasonal, vol_2w, vol_4w",0.7159044953665501,0.38105668683604454,114,104,7,520
911,"change_1w, ma_2w, ma_3w, ma_4w, cos_seasonal, vol_2w, vol_4w",0.7159044953665501,0.38105668683604454,114,104,8,521
791,"change_2w, ma_2w, ma_4w, cos_seasonal, vol_2w, vol_4w",0.7159044953665499,0.38105668683604366,114,104,7,522
939,"change_2w, ma_2w, ma_3w, ma_4w, cos_seasonal, vol_2w, vol_4w",0.7159044953665499,0.38105668683604366,114,104,8,523
827,"ma_2w, ma_3w, ma_4w, cos_seasonal, vol_2w, vol_4w",0.71590449536655,0.3810566868360432,114,104,7,524
806,"change_2w, ma_3w, ma_4w, cos_seasonal, vol_2w, vol_4w",0.7159044953665501,0.38105668683604266,114,104,7,525
504,"change_1w, ma_4w, cos_seasonal, vol_2w, vol_4w",0.7159004919998324,0.38105534128914753,114,104,6,526
735,"change_1w, ma_2w, ma_4w, cos_seasonal, vol_2w, vol_4w",0.7159004919998324,0.38105534128914753,114,104,7,527
609,"ma_2w, ma_4w, cos_seasonal, vol_2w, vol_4w",0.7159004919998324,0.38105534128914653,114,104,6,528
929,"change_1w, ma_3w, ma_4w, cos_seasonal, vol_2w, vol_3w, vol_4w",0.7181054631058834,0.38089487275712264,114,104,8,529
1000,"change_1w, ma_2w, ma_3w, ma_4w, cos_seasonal, vol_2w, vol_3w, vol_4w",0.7181054631058834,0.38089487275712264,114,104,9,530
902,"change_1w, change_2w, ma_4w, cos_seasonal, vol_2w, vol_3w, vol_4w",0.7181054631058836,0.3808948727571225,114,104,8,531
987,"change_1w, change_2w, ma_2w, ma_4w, cos_seasonal, vol_2w, vol_3w, vol_4w",0.7181054631058836,0.3808948727571225,114,104,9,532
993,"change_1w, change_2w, ma_3w, ma_4w, cos_seasonal, vol_2w, vol_3w, vol_4w",0.7181054631058836,0.3808948727571225,114,104,9,533
1017,"change_1w, change_2w, ma_2w, ma_3w, ma_4w, cos_seasonal, vol_2w, vol_3w, vol_4w",0.7181054631058836,0.3808948727571225,114,104,10,534
951,"change_2w, ma_2w, ma_4w, cos_seasonal, vol_2w, vol_3w, vol_4w",0.7181054631058836,0.3808948727571213,114,104,8,535
964,"ma_2w, ma_3w, ma_4w, cos_seasonal, vol_2w, vol_3w, vol_4w",0.7181054631058836,0.3808948727571213,114,104,8,536
1008,"change_2w, ma_2w, ma_3w, ma_4w, cos_seasonal, vol_2w, vol_3w, vol_4w",0.7181054631058836,0.3808948727571213,114,104,9,537
957,"change_2w, ma_3w, ma_4w, cos_seasonal, vol_2w, vol_3w, vol_4w",0.7181054631058836,0.3808948727571203,114,104,8,538
32,"ma_2w, vol_2w",0.7066166388736416,0.3799282932852197,116,106,3,539
17,"change_1w, vol_2w",0.7066166388736416,0.3799282932852195,116,106,3,540
68,"change_1w, ma_2w, vol_2w",0.7066166388736416,0.3799282932852195,116,106,4,541
300,"change_2w, ma_4w, cos_seasonal, vol_2w",0.7025507682592307,0.37945957482410486,114,104,5,542
107,"change_2w, ma_4w, vol_2w",0.7012530925482515,0.37882526761015123,114,104,4,543
430,"change_1w, change_2w, ma_4w, vol_2w, vol_4w",0.7142172829592843,0.3782620331416202,114,104,6,544
661,"change_1w, change_2w, ma_2w, ma_4w, vol_2w, vol_4w",0.7142172829592843,0.3782620331416202,114,104,7,545
681,"change_1w, change_2w, ma_3w, ma_4w, vol_2w, vol_4w",0.7142172829592843,0.3782620331416202,114,104,7,546
856,"change_1w, change_2w, ma_2w, ma_3w, ma_4w, vol_2w, vol_4w",0.7142172829592843,0.3782620331416202,114,104,8,547
485,"change_1w, ma_3w, ma_4w, vol_2w, vol_4w",0.7142172829592843,0.3782620331416201,114,104,6,548
716,"change_1w, ma_2w, ma_3w, ma_4w, vol_2w, vol_4w",0.7142172829592843,0.3782620331416201,114,104,7,549
535,"change_2w, ma_2w, ma_4w, vol_2w, vol_4w",0.7142172829592845,0.37826203314161877,114,104,6,550
772,"change_2w, ma_2w, ma_3w, ma_4w, vol_2w, vol_4w",0.7142172829592845,0.37826203314161877,114,104,7,551
590,"ma_2w, ma_3w, ma_4w, vol_2w, vol_4w",0.7142172829592843,0.37826203314161855,114,104,6,552
555,"change_2w, ma_3w, ma_4w, vol_2w, vol_4w",0.7142172829592843,0.3782620331416181,114,104,6,553
248,"change_1w, ma_4w, vol_2w, vol_4w",0.7142172819662349,0.3782615653567747,114,104,5,554
465,"change_1w, ma_2w, ma_4w, vol_2w, vol_4w",0.7142172819662349,0.3782615653567747,114,104,6,555
339,"ma_2w, ma_4w, vol_2w, vol_4w",0.7142172819662349,0.3782615653567729,114,104,5,556
506,"change_1w, ma_4w, vol_2w, vol_3w, vol_4w",0.7162408323839362,0.3781794943422151,114,104,6,557
737,"change_1w, ma_2w, ma_4w, vol_2w, vol_3w, vol_4w",0.7162408323839362,0.3781794943422151,114,104,7,558
611,"ma_2w, ma_4w, vol_2w, vol_3w, vol_4w",0.7162408323839362,0.3781794943422142,114,104,6,559
702,"change_1w, change_2w, ma_4w, vol_2w, vol_3w, vol_4w",0.7164879019723197,0.37740641684519727,114,104,7,560
752,"change_1w, ma_3w, ma_4w, vol_2w, vol_3w, vol_4w",0.7164879019723197,0.37740641684519727,114,104,7,561
877,"change_1w, change_2w, ma_2w, ma_4w, vol_2w, vol_3w, vol_4w",0.7164879019723197,0.37740641684519727,114,104,8,562
